CODIGO,FECHAPEDIDO,NUMERO,REFERENCIA,CANTIDADCOMPRA,UNIDADESCONSUMOCONTENIDAS,PRECIO,IMPORTELINEA,TIPOCOMPRA,ORIGEN,TGL,PRODUCTO,month,year,id_hospital,id_department,total_units,DaysBetweenOrders,DaysBetweenOrdersPerHospital,DaysBetweenOrdersPerHospitalPerDepartment,Caducidad
E64761,2017-02-02,91013/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,02,17,0,13,250,0.0,0.0,,36.708333333333336
E64761,2017-03-01,162355/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,03,17,0,13,250,14.0,14.0,27.0,36.708333333333336
E64761,2017-03-27,230247/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,03,17,0,13,250,26.0,26.0,26.0,36.708333333333336
E64761,2017-04-21,300850/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,04,17,0,13,250,10.0,10.0,25.0,36.708333333333336
E64761,2017-05-02,325670/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,05,17,0,13,250,7.0,11.0,11.0,36.708333333333336
E64761,2017-06-23,478403/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,06,17,0,13,250,39.0,39.0,52.0,36.708333333333336
E64761,2017-07-18,541342/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,07,17,0,13,250,5.0,7.0,25.0,36.708333333333336
E64761,2017-08-11,596079/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,08,17,0,13,250,15.0,15.0,24.0,36.708333333333336
E64761,2017-09-05,635453/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,09,17,0,13,250,1.0,1.0,25.0,36.708333333333336
E64761,2017-09-25,682679/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,09,17,0,13,250,7.0,7.0,20.0,36.708333333333336
E64761,2017-10-24,797156/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,10,17,0,13,250,15.0,29.0,29.0,36.708333333333336
E64761,2017-11-14,854155/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,11,17,0,13,250,21.0,21.0,21.0,36.708333333333336
E64761,2017-12-18,990310/17,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,12,17,0,13,250,7.0,7.0,34.0,36.708333333333336
E64761,2018-01-11,22382/18,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,01,18,0,13,250,0.0,0.0,24.0,36.708333333333336
E64761,2018-02-22,159860/18,507633,64,16,44.0,176.0,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,02,18,0,13,1024,8.0,15.0,42.0,36.708333333333336
E64761,2018-03-20,258158/18,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,03,18,0,13,250,4.0,6.0,26.0,36.708333333333336
E64761,2018-05-10,434641/18,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,05,18,0,13,250,8.0,8.0,51.0,36.708333333333336
E64761,2018-07-17,686521/18,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,07,18,0,13,250,5.0,22.0,68.0,36.708333333333336
E64761,2018-08-21,872176/18,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,08,18,0,13,250,13.0,13.0,35.0,36.708333333333336
E64761,2018-09-25,954745/18,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,09,18,0,13,250,0.0,0.0,35.0,36.708333333333336
E64761,2018-12-13,1200469/18,265868.4,50,5,13.497,134.97,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,12,18,0,13,250,10.0,10.0,79.0,36.708333333333336
E64761,2018-12-27,1236679/18,265868.4,10,5,13.497,26.994,Compra menor,0-0-13,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,12,18,0,13,50,14.0,14.0,14.0,36.708333333333336
